Date,Open,High,Low,Close,Volume,Max Drawdown,Porfolio Return,Profit,Gross Profit,Average Trade Win,Gross Loss,Average Trade Loss,,,,
01-01-2018,14112.2002,14112.2002,13154.7002,13657.2002,10291200000,6.784909415,-0.035263189,-455,0,516.4187322,-455,-546.8450661,,957.5,,
02-01-2018,13625,15444.59961,13163.59961,14982.09961,16846600192,14.76891637,0.097011056,1357.099609,1357.099609,,0,,,2281,,12864.6211
03-01-2018,14978.2002,15572.79981,14844.5,15201,16871900160,4.676742904,0.014610795,222.799805,222.799805,,0,,,728.29981,,
04-01-2018,15270.7002,15739.7002,14522.2002,15599.2002,21783199744,7.735217218,0.026195658,328.5,328.5,,0,,,1217.5,,81.98265962
05-01-2018,15477.2002,17705.19922,15202.79981,17429.5,23840899072,14.13369812,0.117332926,1952.299805,1952.299805,,0,,,2502.39941,,65598.32153
06-01-2018,17462.09961,17712.40039,16764.59961,17527,18314600448,5.351057785,0.005593964,64.900391,64.900391,,0,,,947.80078,,
07-01-2018,17527.30078,17579.59961,16087.7002,16477.59961,15866000384,8.48653805,-0.059873361,-1049.701172,0,,-1049.701172,,,1491.89941,,
08-01-2018,16476.19922,16537.90039,14208.2002,15170.09961,18413899776,14.08703726,-0.07935015,-1306.09961,0,,-1306.09961,,,2329.70019,,
09-01-2018,15123.7002,15497.5,14424,14595.40039,16659999744,6.926923697,-0.037883681,-528.299804,0,,-528.299804,,,1073.5,,
10-01-2018,14588.5,14973.29981,13691.2002,14973.29981,18500800512,8.56257222,0.025891678,384.799805,384.799805,,0,,,1282.09961,,
11-01-2018,14968.2002,15018.79981,13105.90039,13405.79981,16534099968,12.73669963,-0.104686343,-1562.40039,0,,-1562.40039,,,1912.89942,,
12-01-2018,13453.90039,14229.90039,13158.09961,13980.59961,12065699840,7.532032907,0.04287695,526.699218,526.699218,,0,,,1071.80078,,
13-01-2018,13952.40039,14659.5,13952.40039,14360.2002,12763599872,4.823490637,0.027151953,407.799804,407.799804,,0,,,707.09961,,
14-01-2018,14370.79981,14511.79981,13268,13772,11084099584,8.570954852,-0.040960445,-598.799805,0,,-598.799805,,,1243.79981,,
15-01-2018,13767.29981,14445.5,13641.7002,13819.79981,12750799872,5.56436122,0.003470796,52.5,52.5,,0,,,803.7998,,
16-01-2018,13836.09961,13843.09961,10194.90039,11490.5,18853799936,26.35391872,-0.168548014,-2345.599609,0,,-2345.599609,,,3648.19922,,
17-01-2018,11431.09961,11678,9402.290039,11188.59961,18830600192,19.487155,-0.026273912,-242.5,0,,-242.5,,,2275.709961,,
18-01-2018,11198.79981,12107.29981,10942.5,11474.90039,15020399616,9.620640674,0.025588616,276.100586,276.100586,,0,,,1164.79981,,
19-01-2018,11429.79981,11992.79981,11172.09961,11607.40039,10740400128,6.843274406,0.011546941,177.600586,177.600586,,0,,,820.7002,,
20-01-2018,11656.2002,13103,11656.2002,12899.2002,11801700352,11.04174464,0.111291052,1243,1243,,0,,,1446.7998,,
21-01-2018,12889.2002,12895.90039,11288.2002,11600.09961,9935179776,12.4667541,-0.100711716,-1289.100586,0,,-1289.100586,,,1607.70019,,
22-01-2018,11633.09961,11966.40039,10240.2002,10931.40039,10537400320,14.42539221,-0.057645989,-701.699218,0,,-701.699218,,,1726.20019,,
23-01-2018,10944.5,11377.59961,10129.7002,10868.40039,9660609536,10.96803766,-0.005763214,-76.099609,0,,-76.099609,,,1247.89941,,
24-01-2018,10903.40039,11501.40039,10639.79981,11359.40039,9940989952,7.491266722,0.045176841,456,456,,0,,,861.60058,,
25-01-2018,11421.7002,11785.7002,11057.40039,11259.40039,8873169920,6.179520925,-0.008803282,-162.299804,0,,-162.299804,,,728.29981,,
26-01-2018,11256,11656.7002,10470.29981,11171.40039,9746199552,10.17784081,-0.007815692,-84.599609,0,,-84.599609,,,1186.40039,,
27-01-2018,11174.90039,11614.90039,10989.2002,11440.7002,7583269888,5.387047405,0.024106181,265.799804,265.799804,,0,,,625.70019,,
28-01-2018,11475.29981,12040.29981,11475.29981,11786.29981,8350360064,4.692574179,0.030207907,311,311,,0,,,565,,
29-01-2018,11755.5,11875.59961,11179.2002,11296.40039,7107359744,5.864119984,-0.041565158,-459.099609,0,,-459.099609,,,696.39941,,
30-01-2018,11306.79981,11307.2002,10036.2002,10106.29981,8637859840,11.24062524,-0.105352196,-1200.5,0,,-1200.5,,,1271,,
31-01-2018,10108.2002,10381.59961,9777.419922,10221.09961,8041160192,5.819716717,0.011359232,112.899414,112.899414,,0,,,604.179688,,
01-02-2018,10237.29981,10288.79981,8812.280273,9170.540039,9959400448,14.3507461,-0.10278342,-1066.759766,0,,-1066.759766,,,1476.519537,,
02-02-2018,9142.280273,9142.280273,7796.490234,8830.75,12726899712,14.72050734,-0.037052348,-311.530273,0,,-311.530273,,,1345.790039,,
03-02-2018,8852.120117,9430.75,8251.629883,9174.910156,7263790080,12.50293049,0.038972925,322.790039,322.790039,,0,,,1179.120117,,
04-02-2018,9175.700195,9334.870117,8031.220215,8277.009766,7073549824,13.96537805,-0.097864761,-898.690429,0,,-898.690429,,,1303.649902,,
05-02-2018,8270.540039,8364.839844,6756.680176,6955.27002,9285289984,19.22522963,-0.159688074,-1315.270019,0,,-1315.270019,,,1608.159668,,
06-02-2018,7051.75,7850.700195,6048.259766,7754,13999800320,22.95897671,0.114838098,702.25,702.25,,0,,,1802.440429,,
07-02-2018,7755.490234,8509.110352,7236.790039,7621.299805,9169280000,14.95244815,-0.017113773,-134.190429,0,,-134.190429,,,1272.320313,,
08-02-2018,7637.859863,8558.769531,7637.859863,8265.589844,9346750464,10.7598372,0.084538078,627.729981,627.729981,,0,,,920.909668,,
09-02-2018,8271.839844,8736.980469,7884.709961,8736.980469,6784820224,9.754748921,0.057030488,465.140625,465.140625,,0,,,852.270508,,
10-02-2018,8720.080078,9122.549805,8295.469727,8621.900391,7780960256,9.066325706,-0.013171608,-98.179687,0,,-98.179687,,,827.080078,,
11-02-2018,8616.129883,8616.129883,7931.100098,8129.970215,6122189824,7.950550819,-0.057055887,-486.159668,0,,-486.159668,,,685.029785,,
12-02-2018,8141.430176,8985.919922,8141.430176,8926.570313,6256439808,9.397922008,0.097983151,785.140137,785.140137,,0,,,844.489746,,
13-02-2018,8926.719727,8958.469727,8455.410156,8598.30957,5696719872,5.615463202,-0.036773445,-328.410157,0,,-328.410157,,,503.059571,,
14-02-2018,8599.919922,9518.540039,8599.919922,9494.629883,7909819904,9.650851005,0.104243783,894.709961,894.709961,,0,,,918.620117,,
15-02-2018,9488.320313,10234.79981,9395.580078,10166.40039,9062540288,8.199669242,0.07075268,678.080078,678.080078,,0,,,839.219732,,
16-02-2018,10135.7002,10324.09961,9824.820313,10233.90039,7296159744,4.836056565,0.006639518,98.200196,98.200196,,0,,,499.279297,,
17-02-2018,10207.5,11139.5,10149.40039,11112.7002,8660880384,8.888187172,0.085871444,905.200195,905.200195,,0,,,990.09961,,
18-02-2018,11123.40039,11349.79981,10326,10551.79981,8744009728,9.020421744,-0.050473816,-571.600586,0,,-571.600586,,,1023.79981,,
19-02-2018,10552.59961,11273.79981,10513.2002,11225.29981,7652089856,6.746612702,0.063827974,672.700196,672.700196,,0,,,760.59961,,
20-02-2018,11231.79981,11958.5,11231.79981,11403.7002,9926540288,6.076850692,0.015892706,171.90039,171.90039,,0,,,726.70019,,
21-02-2018,11372.2002,11418.5,10479.09961,10690.40039,9405339648,8.227003459,-0.062549856,-681.799804,0,,-681.799804,,,939.40039,,
22-02-2018,10660.40039,11039.09961,9939.089844,10005,8040079872,9.964669265,-0.064113631,-655.400391,0,,-655.400391,,,1100.009766,,
23-02-2018,9937.070313,10487.29981,9734.55957,10301.09961,7739500032,7.177636319,0.029595163,364.029296,364.029296,,0,,,752.74024,,
24-02-2018,10287.7002,10597.2002,9546.969727,9813.070313,6917929984,9.910452319,-0.047376427,-474.629882,0,,-474.629882,,,1050.230473,,
25-02-2018,9796.419922,9923.219727,9407.05957,9664.730469,5706939904,5.201539129,-0.015116558,-131.689453,0,,-131.689453,,,516.160157,,
26-02-2018,9669.429688,10475,9501.730469,10366.7002,7287690240,9.291355905,0.072632106,697.270507,697.270507,,0,,,973.269531,,
27-02-2018,10393.90039,10878.5,10246.09961,10725.59961,6966179840,5.813305051,0.03462041,331.699218,331.699218,,0,,,632.40039,,
